,envios,ventas,nivel
506,594,352,2
507,0,0,2
508,242,110,2
509,352,132,2
510,858,352,2
511,2023,946,1
512,1144,616,2
513,836,308,3
514,638,352,2
515,484,220,2
516,396,176,1
517,1297,330,1
518,946,660,2
519,770,242,2
520,660,220,1
521,1363,418,1
522,1012,220,2
523,660,264,2
524,132,66,1
525,748,286,2
526,968,484,3
527,4024,1583,1
528,418,220,2
529,638,330,2
530,1144,330,1
531,3431,1759,2
532,2529,1473,1
533,1188,594,3
534,1078,616,1
535,638,308,2
536,0,0,3
537,2749,1166,1
538,880,308,1
539,990,220,2
540,264,88,1
541,1012,506,2
542,792,418,2
543,176,66,3
544,110,44,2
545,550,154,2
546,1122,352,1
547,1847,902,1
548,726,154,1
549,374,176,1
550,6114,3101,1
551,858,396,1
552,924,330,1
553,506,308,2
554,1012,352,2
555,2573,1056,1
556,1451,484,2
557,572,220,1
558,1034,330,1
559,154,0,1
560,1759,616,2
561,264,132,2
562,1715,726,1
563,1232,352,3
564,462,286,1
565,2507,814,2
566,242,66,2
567,638,308,3
568,968,198,2
569,374,154,1
570,880,132,1
571,462,242,2
572,836,286,2
573,440,220,2
574,220,88,2
575,682,176,1
576,352,110,1
577,264,132,1
578,3980,1253,2
579,1210,616,1
580,286,132,3
581,572,352,3
582,704,418,2
583,858,286,1
584,2199,858,1
585,2089,1034,2
586,572,264,2
587,704,176,1
588,242,176,2
589,1561,858,1
590,506,198,2
591,1451,638,2
592,0,0,1
593,550,330,2
594,308,198,2
595,374,198,1
596,1693,682,2
597,1253,572,1
598,308,66,1
599,528,220,1
600,22,22,2
601,440,308,1
602,1034,154,3
603,550,242,2
604,594,242,2
605,0,0,1
606,374,154,2
607,770,396,2
608,550,198,2
609,1232,704,2
610,1979,792,2
611,3738,1605,1
612,374,198,1
613,484,286,2
614,726,374,2
615,1144,638,2
616,374,88,1
617,1649,506,3
618,792,396,2
619,594,264,3
620,286,110,1
621,484,330,3
622,53856,27335,1
623,8137,2639,3
624,330,220,1
625,572,176,2
626,352,88,2
627,858,264,3
628,748,286,2
629,110,22,1
630,462,66,1
631,220,88,2
632,330,220,2
633,2089,880,2
634,330,154,1
635,2771,1056,1
636,1693,836,2
