n,%adqui
0.5777777777777777,13
0.4864864864864865,13
0.42,13
0.2653061224489796,13
0.6086956521739131,13
0.32727272727272727,12
0.20833333333333334,12
0.37254901960784315,12
0.4888888888888889,12
0.2978723404255319,12
0.6129032258064516,12
0.4883720930232558,12
0.38636363636363635,12
0.3687150837988827,12
0.5227272727272727,12
0.4222222222222222,12
0.32281731474688186,12
0.3117076808351976,12
0.6333333333333333,12
0.38181818181818183,12
0.30952380952380953,12
0.4807692307692308,12
0.325,12
0.5526315789473685,12
0.4670204700530705,12
0.39373601789709173,12
0.7692307692307693,11
0.4489795918367347,11
0.4423076923076923,11
0.418194161575017,11
0.6538461538461539,11
0.27906976744186046,11
0.6296296296296297,11
0.3392857142857143,11
0.5094339622641509,11
0.65,11
0.3404255319148936,11
0.6842105263157895,11
0.28205128205128205,11
0.3968627450980392,11
0.47576435495898584,11
0.4909090909090909,11
0.42405551272166536,11
0.42888086642599277,11
0.27889634601043994,10
0.4070932922127988,10
0.08333333333333333,10
0.5757575757575758,10
0.5576923076923077,10
0.4205669083717864,10
0.35115722266560256,10
0.42592592592592593,10
0.41509433962264153,10
0.4831372549019608,10
0.4358033749082905,10
0.39732441471571905,10
0.5510204081632653,10
0.32858112695179903,10
0.41698256254738436,10
0.33962264150943394,10
0.5862068965517241,10
0.30612244897959184,10
0.46,10
0.43969676085458304,10
0.4060646011865524,10
0.5581395348837209,10
0.2894736842105263,10
0.3975077881619938,10
0.5116279069767442,10
0.41567529741077675,10
0.6818181818181818,10
0.20588235294117646,10
0.3752665245202559,9
0.35185185185185186,9
0.43636363636363634,9
0.4464660601819454,9
0.441017733230532,9
0.23333333333333334,9
0.34351663272233535,9
0.3617021276595745,9
0.3891345546430828,9
0.41014168530947054,9
0.4331296673455533,9
0.6521739130434783,9
0.2549019607843137,9
0.4772727272727273,9
0.34,9
0.40352164343360236,9
0.18518518518518517,9
0.17391304347826086,9
0.5277777777777778,9
0.13333333333333333,9
0.356386292834891,9
0.7777777777777778,9
0.21621621621621623,9
0.6551724137931034,9
0.42217484008528783,9
0.11764705882352941,9
0.28846153846153844,9
0.41818181818181815,9
0.32228218966846567,9
0.07142857142857142,9
0.46296296296296297,9
0.4690831556503198,9
0.19230769230769232,9
0.4878048780487805,9
0.41486411536328344,9
0.1951219512195122,8
0.3697478991596639,8
0.5526137135098439,8
0.5003668378576669,8
0.1935483870967742,8
0.4727272727272727,8
0.5272727272727272,8
0.47653429602888087,8
0.3160415003990423,8
0.3873807776962582,8
0.5003445899379738,8
0.32075471698113206,8
0.4897959183673469,8
0.5155065472088215,8
0.21212121212121213,8
0.5476190476190477,8
0.24489795918367346,8
0.37316885119506554,8
0.36789297658862874,8
0.575,8
0.38656330749354006,8
0.3148148148148148,8
0.3541666666666667,8
0.41411764705882353,8
0.4038308060654429,8
0.4093728463128877,8
0.17857142857142858,8
0.59375,8
0.43781094527363185,8
0.3773303504847129,8
0.42675585284280937,8
0.37861094038106946,8
0.3638869745003446,8
0.45652173913043476,8
0.5370370370370371,8
0.4336618650492798,8
0.47406225059856344,8
0.5348837209302325,8
0.3137254901960784,8
0.2909090909090909,8
0.3515673017824216,8
0.2682926829268293,8
0.4028352037802717,8
0.39156229400131837,8
0.4579799537393986,8
0.13636363636363635,8
0.473967684021544,8
0.44680851063829785,8
0.5945945945945946,8
0.49162011173184356,7
0.29848363926576216,7
